Week,Tier,Player 1,Player 2,Date,Streamer,Match start,Board visibility start,VOD Link,P1 Score,P2 Score,Bingo,Winner
2,B,KeiperDontCare,Kanvas,3/2/2025,Matt,740,740,https://youtu.be/ms_or3hPEUc,2,11,P2,Kanvas
2,B,tutes,pizzapartytime,3/2/2025,Val1407,127,155,https://www.youtube.com/watch?v=jE8UJ1mQB_M,7,10,-,pizzapartytime
2,B,boardsofhannahda,Flesh177,2/25/2025,Spooty,50,50,https://www.youtube.com/watch?v=cf_BMAVGk5c,4,10,P2,Flesh177
2,B,sio,bobbaro,3/3/2025,Matt,506,506,https://youtu.be/LqOcl5NtYYw,12,6,-,sio
2,B,CuthBucket,Frank,2/27/2025,Cosmoing,754,754,https://www.youtube.com/watch?v=pGe14FmH-6o,7,12,-,Frank
2,B,goose,Flick,3/1/2025,Mordaak,154,167,https://www.youtube.com/watch?v=2gEhN0lNF4M,6,10,-,Flick
2,B,Marshmallow,CodeMeRight1,3/1/2025,Mordaak,100,100,https://www.youtube.com/watch?v=OKkfr9_-aak,10,9,-,Marshmallow
2,B,Ghost,Hugo,3/1/2025,Val1407,242,242,https://www.youtube.com/watch?v=MynP5RUvePw,8,9,P2,Hugo
2,C,parchmentEng,Saffron,2/26/2025,Val1407,84,84,https://www.youtube.com/watch?v=WjKymdO03y0,6,5,-,parchmentEng
2,C,Smo,Frogmoss10,2/26/2025,Matt,734,734,https://www.youtube.com/watch?v=KZ43-jD4Gns,10,10,P2,Frogmoss10
2,C,A guy,Morzis,2/28/2025,Val1407,152,152,https://www.youtube.com/watch?v=xgwLq6xEyPg,8,8,-,Morzis
2,C,dahdumbguy,amarettosis,3/2/2025,Spooty,37,37,https://www.youtube.com/watch?v=uVlSAQr_BEY,4,5,-,amarettosis
2,C,Dom,WinnerBit,2/27/2025,Spooty,49,49,https://www.youtube.com/watch?v=JBXv2lT98E0,9,10,-,WinnerBit
